iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BLR,Europe,Belarus,2022-03-01,921263.0,1527.0,4453.429,6493.0,13.0,14.429,97561.789,161.709,471.618,687.609,1.377,1.528,0.58,,,,,,,,,12444066.0,5257.0,1317.827,0.557,18089.0,1.916,0.2462,4.1,tests performed,,,,,,28385.0,,,,,3006.0,11068.0,0.117,23.15,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BLZ,North America,Belize,2022-02-01,52004.0,1517.0,534.429,629.0,4.0,1.0,128431.893,3746.465,1319.854,1553.412,9.879,2.47,0.91,,,,,,,,,,,,,1960.0,4.841,0.2727,3.7,tests performed,,,,,,686.0,,,,,1694.0,74.0,0.018,72.22,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BLZ,North America,Belize,2022-03-01,56773.0,79.0,57.0,650.0,0.0,0.429,140209.674,195.103,140.77,1605.275,0.0,1.058,0.54,,,,,,,,,,,,,894.0,2.208,0.0638,15.7,tests performed,,,,,,380.0,,,,,938.0,61.0,0.015,54.63,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BMU,North America,Bermuda,2022-02-01,10793.0,0.0,75.857,117.0,0.0,0.429,173822.715,0.0,1221.689,1884.301,0.0,6.902,,,,,,,,,,,,,,,,,,,,,,,,336.0,,,,,5411.0,10.0,0.016,41.67,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BMU,North America,Bermuda,2022-03-01,11561.0,0.0,19.714,123.0,0.0,0.0,186191.458,0.0,317.501,1980.932,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,1578.0,31.0,0.05,37.96,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BOL,South America,Bolivia,2022-02-01,859530.0,3825.0,4471.143,21011.0,60.0,41.571,72638.777,323.25,377.856,1775.637,5.071,3.513,0.73,141.0,11.916,1288.0,108.849,,,,,3670800.0,15458.0,310.219,1.306,15055.0,1.272,0.297,3.4,tests performed,11895767.0,6736240.0,5269121.0,885367.0,35185.0,42082.0,100.53,56.93,44.53,7.48,3556.0,12598.0,0.106,29.63,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BOL,South America,Bolivia,2022-03-01,893512.0,117.0,342.857,21441.0,3.0,5.857,75510.592,9.888,28.975,1811.976,0.254,0.495,0.6,50.0,4.225,287.0,24.254,,,,,3884359.0,1874.0,328.267,0.158,4244.0,0.359,0.0808,12.4,tests performed,12589867.0,6930515.0,5605495.0,1048818.0,742.0,14187.0,106.4,58.57,47.37,8.86,1199.0,4815.0,0.041,44.44,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BRA,South America,Brazil,2022-02-01,25634781.0,171251.0,184637.0,628356.0,767.0,603.857,119792.368,800.263,862.816,2936.333,3.584,2.822,1.11,,,,,,,,,67204366.0,,314.049,,74770.0,0.349,,,tests performed,363827251.0,170599221.0,150040841.0,48206588.0,1324042.0,1120005.0,170.02,79.72,70.11,22.53,5234.0,293247.0,0.137,61.57,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
BRA,South America,Brazil,2022-03-01,28818850.0,22279.0,65271.286,649922.0,246.0,598.143,134671.651,104.111,305.015,3037.112,1.15,2.795,0.6,,,,,,,,,,,,,19430.0,0.091,,,tests performed,392925626.0,177836868.0,155071690.0,65073212.0,161992.0,814209.0,183.62,83.1,72.47,30.41,3805.0,173043.0,0.081,69.91,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
BRB,North America,Barbados,2022-02-01,45216.0,786.0,654.857,281.0,1.0,0.571,157159.342,2731.937,2276.117,976.685,3.476,1.986,1.04,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,584.0,79.0,0.027,59.26,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BRB,North America,Barbados,2022-03-01,55385.0,220.0,182.714,316.0,0.0,0.714,192504.206,764.664,635.068,1098.336,0.0,2.483,0.81,,,,,,,,,587777.0,,2042.964,,,,,,tests performed,309727.0,160188.0,149539.0,,165.0,105.0,107.65,55.68,51.98,,365.0,38.0,0.013,42.59,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BRN,Asia,Brunei,2022-02-01,16476.0,0.0,46.857,98.0,0.0,0.0,37315.529,0.0,106.124,221.954,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,1923.0,,,,,4355.0,31.0,0.007,57.41,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,2022-03-01,67762.0,4220.0,3816.143,127.0,2.0,2.143,153470.19,9557.631,8642.959,287.635,4.53,4.853,1.29,,,,,,,,,,,,,,,,,,,,,,,1730.0,,,,,3918.0,15.0,0.003,57.41,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BTN,Asia,Bhutan,2022-02-01,5203.0,312.0,178.857,4.0,0.0,0.143,6671.368,400.051,229.333,5.129,0.0,0.183,1.45,,,,,,,,,1460552.0,13437.0,1872.743,17.229,10653.0,13.659,0.0168,59.6,samples tested,,,,,,4477.0,,,,,5740.0,33.0,0.004,75.46,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BTN,Asia,Bhutan,2022-03-01,13137.0,435.0,420.143,6.0,0.0,0.0,16844.467,557.764,538.714,7.693,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,,,,,,3808.0,,,,,4883.0,1772.0,0.227,73.61,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BWA,Africa,Botswana,2022-02-01,253036.0,0.0,1018.857,2581.0,0.0,2.286,105553.053,0.0,425.013,1076.655,0.0,0.953,0.91,,,,,,,,,,,,,2025.0,0.845,0.5031,2.0,tests performed,,,,,,2733.0,,,,,1140.0,7954.0,0.332,13.89,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BWA,Africa,Botswana,2022-03-01,263950.0,0.0,185.429,2619.0,0.0,0.714,110105.788,0.0,77.351,1092.506,0.0,0.298,0.46,,,,,,,,,,,,,1952.0,0.814,0.095,10.5,tests performed,,,,,,3851.0,,,,,1606.0,3851.0,0.161,13.89,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
CAF,Africa,Central African Republic,2022-02-01,13919.0,0.0,11.286,110.0,0.0,0.143,2829.073,0.0,2.294,22.358,0.0,0.029,0.51,,,,,,,,,,,,,123.0,0.025,0.0918,10.9,tests performed,,,,,,5242.0,,,,,1065.0,4752.0,0.097,18.52,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
CAF,Africa,Central African Republic,2022-03-01,14225.0,0.0,5.429,113.0,0.0,0.0,2891.268,0.0,1.103,22.968,0.0,0.0,0.17,,,,,,,,,,,,,127.0,0.026,0.0427,23.4,tests performed,,,,,,5587.0,,,,,1136.0,5471.0,0.111,24.07,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
CAN,North America,Canada,2022-02-01,3085591.0,11937.0,14505.286,34750.0,136.0,123.571,81054.903,313.571,381.037,912.842,3.573,3.246,0.74,1167.0,30.656,9946.0,261.27,,,,,56645902.0,58707.0,1488.022,1.542,83225.0,2.186,0.1743,5.7,tests performed,78256877.0,32344680.0,30195191.0,15717006.0,198006.0,228687.0,205.57,84.97,79.32,41.29,6007.0,15721.0,0.041,78.24,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2022-03-01,3307510.0,5110.0,6090.0,36706.0,18.0,45.857,86884.458,134.234,159.977,964.224,0.473,1.205,0.9,607.0,15.945,5095.0,133.84,,,,,58276405.0,37824.0,1530.854,0.994,50801.0,1.334,0.1199,8.3,tests performed,81283247.0,,30915451.0,17832512.0,42903.0,95055.0,213.52,,81.21,46.84,2497.0,4496.0,0.012,68.98,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CHE,Europe,Switzerland,2022-02-01,2253288.0,32749.0,35718.0,12723.0,15.0,12.571,258538.185,3757.561,4098.219,1459.814,1.721,1.442,1.06,200.0,22.948,1974.0,226.493,,,930.0,106.707,17188271.0,111433.0,1972.151,12.786,98311.0,11.28,0.399,2.5,tests performed,15334465.0,6062561.0,5922819.0,3481966.0,18999.0,23267.0,175.94,69.56,67.96,39.95,2670.0,1561.0,0.018,56.48,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
CHE,Europe,Switzerland,2022-03-01,2818720.0,16769.0,15300.286,13110.0,9.0,9.714,323414.829,1924.045,1755.527,1504.218,1.033,1.115,1.08,143.0,16.408,1408.0,161.551,,,615.0,70.564,18777487.0,56141.0,2154.495,6.442,42628.0,4.891,0.427,2.3,tests performed,15571142.0,6074774.0,5980663.0,3642930.0,2509.0,3881.0,178.66,69.7,68.62,41.8,445.0,210.0,0.002,23.15,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
CHL,South America,Chile,2022-02-01,2190561.0,24577.0,27030.714,39733.0,12.0,27.143,114018.308,1279.228,1406.944,2068.096,0.625,1.413,1.46,474.0,24.672,,,197.0,10.254,2504.0,130.333,29792093.0,93028.0,1550.673,4.842,115198.0,5.996,0.2346,4.3,tests performed,46784357.0,17632482.0,16971534.0,12754530.0,72834.0,54684.0,243.51,91.78,88.34,66.39,2846.0,7549.0,0.039,35.65,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHL,South America,Chile,2022-03-01,3061019.0,0.0,23584.0,42353.0,0.0,118.143,159325.491,0.0,1227.543,2204.466,0.0,6.149,0.83,1107.0,57.619,,,493.0,25.661,2681.0,139.546,32822346.0,51271.0,1708.397,2.669,91331.0,4.754,0.2582,3.9,tests performed,48887535.0,17805456.0,17247658.0,14408745.0,138067.0,86299.0,254.46,92.68,89.77,75.0,4492.0,6952.0,0.036,30.09,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2022-02-01,120159.0,90.0,111.286,4636.0,0.0,0.0,83.2,0.062,0.077,3.21,0.0,0.0,1.22,,,,,,,,,,,,,14769984.0,10.227,0.0,132721.0,tests performed,3000603000.0,,,,71000.0,3136714.0,207.77,,,,2172.0,83771.0,0.006,64.35,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2022-03-01,125099.0,355.0,312.571,4636.0,0.0,0.0,86.621,0.246,0.216,3.21,0.0,0.0,2.13,,,,,,,,,,,,,14769984.0,10.227,0.0,47253.2,tests performed,3135598000.0,,,,5753000.0,5690143.0,217.11,,,,3940.0,177433.0,0.012,64.35,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CIV,Africa,Cote d'Ivoire,2022-02-01,80783.0,65.0,60.0,785.0,0.0,0.429,2986.032,2.403,2.218,29.016,0.0,0.016,0.47,,,,,,,,,,,,,2114.0,0.078,0.0284,35.2,tests performed,,,,,,50304.0,,,,,1859.0,17397.0,0.064,21.3,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
CIV,Africa,Cote d'Ivoire,2022-03-01,81483.0,0.0,12.286,793.0,0.0,0.286,3011.906,0.0,0.454,29.312,0.0,0.011,0.65,,,,,,,,,,,,,2120.0,0.078,0.0058,172.6,tests performed,,,,,,31684.0,,,,,1171.0,81722.0,0.302,21.3,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
CMR,Africa,Cameroon,2022-02-01,116718.0,0.0,372.143,1880.0,0.0,1.857,4287.279,0.0,13.67,69.056,0.0,0.068,0.4,,,,,,,,,,,,,,,,,,,,,,,6236.0,,,,,229.0,7159.0,0.026,30.56,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CMR,Africa,Cameroon,2022-03-01,119240.0,0.0,19.0,1923.0,0.0,0.429,4379.917,0.0,0.698,70.636,0.0,0.016,0.29,,,,,,,,,,,,,,,,,,1272574.0,1073258.0,813063.0,,,721.0,4.67,3.94,2.99,,26.0,665.0,0.002,22.22,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
COD,Africa,Democratic Republic of Congo,2022-02-01,85379.0,0.0,88.429,1278.0,0.0,0.0,924.235,0.0,0.957,13.834,0.0,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,6523.0,,,,,71.0,5158.0,0.006,33.33,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
COD,Africa,Democratic Republic of Congo,2022-03-01,86039.0,21.0,23.286,1335.0,0.0,0.0,931.38,0.227,0.252,14.451,0.0,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,7964.0,,,,,86.0,7492.0,0.008,39.81,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
COG,Africa,Congo,2022-02-01,23705.0,0.0,31.429,371.0,0.0,0.0,4190.371,0.0,5.556,65.582,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,1122.0,,,,,198.0,1104.0,0.02,51.85,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COG,Africa,Congo,2022-03-01,24020.0,0.0,13.571,378.0,0.0,0.143,4246.054,0.0,2.399,66.82,0.0,0.025,0.57,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,37.0,191.0,0.003,17.59,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2022-02-01,2.0,0.0,0.0,,,,113.817,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,341.0,3.0,0.017,,17572.0,,,,,,,,,,,,,76.25,,,,,
COK,Oceania,Cook Islands,2022-03-01,25.0,15.0,3.0,,,,1422.718,853.631,170.726,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,1024.0,17.0,0.097,,17572.0,,,,,,,,,,,,,76.25,,,,,
COL,South America,Colombia,2022-02-01,5901715.0,14454.0,17257.857,134551.0,251.0,259.143,115119.832,281.942,336.635,2624.574,4.896,5.055,0.74,,,,,,,,,32155328.0,58611.0,627.227,1.143,58080.0,1.133,0.392,2.6,tests performed,72153729.0,40403140.0,31765969.0,5808639.0,225821.0,222538.0,140.74,78.81,61.96,11.33,4341.0,64817.0,0.126,62.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COL,South America,Colombia,2022-03-01,6065801.0,1218.0,1953.571,138854.0,87.0,81.286,118320.521,23.759,38.107,2708.509,1.697,1.586,0.48,,,,,,,,,33162747.0,30211.0,646.878,0.589,29703.0,0.579,0.088,11.4,tests performed,,,,,,112956.0,,,,,2203.0,19751.0,0.039,55.56,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2022-02-01,7832.0,0.0,2.571,160.0,0.0,0.143,8815.293,0.0,2.894,180.088,0.0,0.161,0.77,,,,,,,,,,,,,,,,,,,,,,,3742.0,,,,,4212.0,60.0,0.007,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COM,Africa,Comoros,2022-03-01,8033.0,0.0,1.286,160.0,0.0,0.0,9041.528,0.0,1.447,180.088,0.0,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,75.0,3.0,0.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
CPV,Africa,Cape Verde,2022-02-01,55721.0,26.0,35.714,396.0,0.0,0.571,99165.155,46.271,63.56,704.75,0.0,1.017,0.2,,,,,,,,,,,,,,,,,tests performed,,,,,,2853.0,,,,,5077.0,1057.0,0.188,47.22,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CPV,Africa,Cape Verde,2022-03-01,55887.0,1.0,3.286,401.0,0.0,0.0,99460.581,1.78,5.847,713.649,0.0,0.0,0.45,,,,,,,,,,338.0,,0.602,,,,,tests performed,,,,,,1551.0,,,,,2760.0,491.0,0.087,58.33,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CRI,North America,Costa Rica,2022-02-01,701471.0,6606.0,5683.857,7593.0,18.0,14.429,136498.106,1285.451,1106.013,1477.51,3.503,2.808,1.16,,,,,,,,,2627182.0,12963.0,511.219,2.522,12969.0,2.524,0.402,2.5,people tested,,,,,,13680.0,,,,,2662.0,5021.0,0.098,50.0,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CRI,North America,Costa Rica,2022-03-01,809131.0,2203.0,2185.143,8047.0,10.0,13.286,157447.491,428.678,425.203,1565.853,1.946,2.585,0.75,,,,,,,,,2915298.0,9020.0,567.283,1.755,8557.0,1.665,0.225,4.4,people tested,,,,,,51149.0,,,,,9953.0,6105.0,0.119,44.44,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CUB,North America,Cuba,2022-02-01,1046400.0,1610.0,2602.429,8407.0,8.0,4.857,92458.598,142.258,229.947,742.832,0.707,0.429,0.73,,,,,,,,,,,,,,,,,,34345875.0,10574142.0,9834152.0,5400947.0,47044.0,68415.0,303.48,93.43,86.89,47.72,6045.0,2230.0,0.02,29.63,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUB,North America,Cuba,2022-03-01,1070258.0,396.0,549.143,8495.0,1.0,0.571,94566.661,34.99,48.522,750.608,0.088,0.05,0.81,,,,,,,,,,,,,,,,,,35016078.0,10610252.0,9883693.0,5974852.0,14417.0,15517.0,309.4,93.75,87.33,52.79,1371.0,1056.0,0.009,29.63,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2022-02-01,37281.0,153.0,136.857,234.0,2.0,1.857,226225.151,928.421,830.464,1419.937,12.136,11.269,,,,,,,,,,,,,,13.0,0.079,,,tests performed,240608.0,106053.0,97626.0,36929.0,235.0,227.0,146.0,64.35,59.24,22.41,1377.0,24.0,0.015,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CUW,North America,Curacao,2022-03-01,38960.0,16.0,26.0,261.0,0.0,0.0,236413.505,97.09,157.771,1583.776,0.0,0.0,,,,,,,,,,,,,,13.0,0.079,,,tests performed,,,,,,102.0,,,,,619.0,48.0,0.029,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYM,North America,Cayman Islands,2022-02-01,13788.0,0.0,7.714,15.0,0.0,0.0,207344.582,0.0,116.008,225.571,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,1519.0,18.0,0.027,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2022-03-01,19373.0,0.0,92.143,17.0,0.0,0.0,291332.07,0.0,1385.649,255.647,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,932.0,22.0,0.033,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYP,Europe,Cyprus,2022-02-01,259784.0,3038.0,2556.571,734.0,1.0,3.0,289935.882,3390.606,2853.3,819.192,1.116,3.348,1.07,,,,,,,,,22859848.0,113862.0,25513.081,127.077,104283.0,116.387,0.0245,40.8,tests performed,,,,,,5071.0,,,,,5660.0,256.0,0.029,38.89,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CYP,Europe,Cyprus,2022-03-01,324502.0,1986.0,1894.714,857.0,1.0,3.857,362165.39,2216.505,2114.625,956.468,1.116,4.305,1.0,,,,,,,,,25800062.0,102159.0,28794.551,114.016,106111.0,118.427,0.0179,56.0,tests performed,,,,,,766.0,,,,,855.0,80.0,0.009,38.89,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2022-02-01,3043084.0,29630.0,35548.429,37243.0,34.0,23.286,283749.262,2762.819,3314.677,3472.686,3.17,2.171,1.22,324.0,30.211,3065.0,285.793,222.0,20.7,3163.0,294.931,50650964.0,185358.0,4722.897,17.284,153371.0,14.301,0.248,4.0,tests performed,17087958.0,6929679.0,6791311.0,3775781.0,26082.0,29871.0,159.33,64.62,63.32,35.21,2785.0,1655.0,0.015,41.67,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
CZE,Europe,Czechia,2022-03-01,3587871.0,13543.0,9143.143,38685.0,93.0,50.0,334547.37,1262.803,852.543,3607.143,8.672,4.662,0.73,310.0,28.906,3015.0,281.131,210.0,19.581,2696.0,251.386,52893186.0,45925.0,4931.971,4.282,42267.0,3.941,0.206,4.9,tests performed,17399333.0,6944510.0,6846995.0,4017466.0,4041.0,6034.0,162.24,64.75,63.84,37.46,563.0,299.0,0.003,37.96,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
DEU,Europe,Germany,2022-02-01,9978146.0,162613.0,158050.143,117974.0,188.0,144.857,118928.367,1938.166,1883.781,1406.118,2.241,1.727,1.29,2259.0,26.925,,,1381.0,16.46,8207.0,97.818,,,,,368554.0,4.393,,,tests performed,167445135.0,63877544.0,62784332.0,44460546.0,292389.0,322834.0,199.58,76.13,74.83,52.99,3848.0,29157.0,0.035,48.15,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2022-03-01,14867218.0,122111.0,157760.429,122937.0,235.0,190.571,177200.65,1455.427,1880.328,1465.272,2.801,2.271,0.96,2288.0,27.27,,,1525.0,18.176,9528.0,113.563,,,,,279921.0,3.336,,,tests performed,172466260.0,64243714.0,63875101.0,48022952.0,162324.0,134267.0,205.56,76.57,76.13,57.24,1600.0,8266.0,0.01,48.15,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DJI,Africa,Djibouti,2022-02-01,15472.0,8.0,14.286,189.0,0.0,0.0,15438.083,7.982,14.254,188.586,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,393.0,,,,,392.0,389.0,0.039,49.07,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DJI,Africa,Djibouti,2022-03-01,15547.0,0.0,0.714,189.0,0.0,0.0,15512.918,0.0,0.713,188.586,0.0,0.0,0.38,,,,,,,,,,,,,366.0,0.365,0.002,512.6,tests performed,,,,,,377.0,,,,,376.0,372.0,0.037,58.33,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2022-02-01,9387.0,355.0,124.286,51.0,0.0,0.286,130064.291,4918.805,1722.077,706.645,0.0,3.959,1.07,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,1455.0,77.0,0.107,37.04,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DMA,North America,Dominica,2022-03-01,11108.0,0.0,22.143,57.0,0.0,0.0,153910.104,0.0,306.807,789.78,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,360.0,10.0,0.014,59.26,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DNK,Europe,Denmark,2022-02-01,1787935.0,45366.0,43309.143,3770.0,15.0,19.286,307559.284,7803.826,7450.007,648.513,2.58,3.318,1.08,28.0,4.817,1070.0,184.061,,,2057.0,353.844,59629706.0,164648.0,10257.459,28.323,169503.0,29.158,0.2555,3.9,tests performed,13069508.0,4827528.0,4770671.0,3518325.0,6761.0,9700.0,224.82,83.04,82.06,60.52,1669.0,342.0,0.006,16.67,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
