iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
NPL,Asia,Nepal,2022-03-01,977076.0,92.0,138.714,11938.0,2.0,1.429,32925.986,3.1,4.674,402.293,0.067,0.048,0.29,,,,,,,,,6491107.0,6504.0,218.741,0.219,7824.0,0.264,0.033,30.3,samples tested,37233872.0,21594817.0,17547281.0,1189716.0,108140.0,108663.0,125.47,72.77,59.13,4.01,3662.0,25976.0,0.088,46.3,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NRU,Oceania,Nauru,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,2483.0,22.0,0.202,,10873.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,,,,
NRU,Oceania,Nauru,2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,2483.0,22.0,0.202,,10873.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,,,,
NZL,Oceania,New Zealand,2022-02-01,16817.0,197.0,153.143,53.0,0.0,0.143,3280.534,38.429,29.874,10.339,0.0,0.028,1.62,,,,,,,,,,,,,19764.0,3.855,,,tests performed,9511701.0,4181808.0,3928328.0,1401565.0,51042.0,48427.0,185.55,81.58,76.63,27.34,9447.0,10713.0,0.209,62.04,5126300.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
NZL,Oceania,New Zealand,2022-03-01,142918.0,24106.0,14796.143,56.0,0.0,0.0,27879.367,4702.417,2886.32,10.924,0.0,0.0,2.17,,,,,,,,,6728049.0,16851.0,1312.457,3.287,27148.0,5.296,,,tests performed,10651406.0,4262440.0,3964638.0,2424328.0,22120.0,27263.0,207.78,83.15,77.34,47.29,5318.0,2166.0,0.042,62.04,5126300.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
OMN,Asia,Oman,2022-02-01,341708.0,2828.0,2220.571,4148.0,2.0,2.571,65418.993,541.412,425.122,794.122,0.383,0.492,1.39,,,,,,,,,,,,,,,,,,,,,,,15655.0,,,,,2997.0,2255.0,0.043,57.41,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
OMN,Asia,Oman,2022-03-01,382244.0,0.0,613.714,4244.0,0.0,0.857,73179.492,0.0,117.494,812.501,0.0,0.164,0.62,,,,,,,,,,,,,,,,,tests performed,,,,,,7700.0,,,,,1474.0,1164.0,0.022,55.56,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
OWID_AFR,,Africa,2022-02-01,10914089.0,27003.0,29333.571,239430.0,435.0,349.857,7946.266,19.66,21.357,174.323,0.317,0.255,,,,,,,,,,,,,,,,,,,355569856.0,220719443.0,147620383.0,2707013.0,1820891.0,1474513.0,25.89,16.07,10.75,0.2,1074.0,841779.0,0.061,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2022-03-01,11340541.0,7355.0,10056.0,248899.0,76.0,194.857,8256.755,5.355,7.322,181.217,0.055,0.142,,,,,,,,,,,,,,,,,,,412481733.0,256461629.0,168400316.0,13277826.0,1527150.0,1954160.0,30.03,18.67,12.26,0.97,1423.0,1080218.0,0.079,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2022-02-01,101458138.0,667153.0,681587.857,1299700.0,2569.0,1796.429,21686.295,142.601,145.687,277.806,0.549,0.384,,,,,,,,,,,,,,,,,,,6842290518.0,3301898307.0,2865361422.0,509335180.0,12594188.0,15774375.0,146.25,70.58,61.25,10.89,3372.0,3418268.0,0.073,,4678444992.0,,,,,,,,,,,,,,,,,,
